repo,issue_number,issue_author,issue_text_words,issue_text_chars,comment_count,unique_commenters,comment_text_words,comment_text_chars,comment_authors_joined,unique_thread_participants,total_text_words,total_text_chars
hashicorp/vault,23784,khodyrevyurii,402,2873,9,2,687,4388,khodyrevyurii|raskchanky,2,1089,7261
hashicorp/vault,23783,Esity,198,1170,0,0,0,0,,1,198,1170
hashicorp/vault,23782,Esity,241,1677,0,0,0,0,,1,241,1677
hashicorp/vault,23772,jakefrancois5,102,620,0,0,0,0,,1,102,620
hashicorp/vault,23734,jeroenruytings,183,1239,3,2,165,994,ccapurso|jeroenruytings,2,348,2233
hashicorp/vault,23725,saturn4er,224,1509,0,0,0,0,,1,224,1509
hashicorp/vault,23666,smangels,302,2111,8,4,646,4511,plejd-sebman|raskchanky|smangels|stevendpclark,4,948,6622
hashicorp/vault,23635,Lord-Y,516,4212,4,3,191,1157,Lord-Y|divyaac|fcrespofastly,3,707,5369
hashicorp/vault,23629,stryder123451,42,313,3,3,114,698,Monkeychip|divyaac|stryder123451,3,156,1011
hashicorp/vault,23623,rjhornsby,520,3307,2,2,90,488,raskchanky|rjhornsby,2,610,3795
hashicorp/vault,23602,abexamir,183,1123,4,2,183,1152,abexamir|fairclothjm,2,366,2275
hashicorp/vault,23599,sarahhodne,1470,10014,0,0,0,0,,1,1470,10014
hashicorp/vault,23596,Langleu,685,4107,2,2,190,1095,Langleu|peteski22,2,875,5202
hashicorp/vault,23591,dginsberg-lt,689,5020,1,1,10,71,dginsberg-lt,1,699,5091
hashicorp/vault,23566,craftey,780,4938,6,4,432,2661,craftey|heatherezell|toannguyen-invisible-klara|vnazar,4,1212,7599
hashicorp/vault,23544,innerdev,405,2897,4,3,250,1370,divyaac|raskchanky|rraj-splunk,4,655,4267
hashicorp/vault,23541,wangzc93,105,722,0,0,0,0,,1,105,722
hashicorp/vault,23539,ipaqmaster,336,2116,8,4,616,3487,hashishaw|hmalinov|ipaqmaster|marsu-p,4,952,5603
hashicorp/vault,23523,RandJV,304,2147,0,0,0,0,,1,304,2147
hashicorp/vault,23496,dovys,209,1408,2,2,24,146,divyaac|dovys,2,233,1554
hashicorp/vault,23481,patcable,671,5155,4,2,1727,12055,maxiscoding28|patcable,2,2398,17210
hashicorp/vault,23465,bmcmahon-fa,317,1983,1,1,23,115,Monkeychip,2,340,2098
hashicorp/vault,23463,hillen,337,2616,4,3,228,1319,ed-ud|jayunit100|tdviet,4,565,3935
hashicorp/vault,23427,Clasyc,587,3997,1,1,78,527,ladserg,2,665,4524
hashicorp/vault,23371,z0rc,325,2524,3,3,88,604,bmcdonald05|karabanov|lals1,4,413,3128
hashicorp/vault,23369,mihkelader,403,2613,2,1,26,162,sgmiller,2,429,2775
hashicorp/vault,23361,protochron,1897,11454,4,3,419,2212,Rumbles|austingebauer|protochron,3,2316,13666
hashicorp/vault,23311,maron546,297,2514,1,1,9,46,nagavijayan-nagarathinam,2,306,2560
hashicorp/vault,23283,willhaines,300,2084,4,3,719,4573,biazmoreira|divyaac|willhaines,3,1019,6657
hashicorp/vault,23279,tenstad,250,1564,0,0,0,0,,1,250,1564
hashicorp/vault,23271,l-with,503,4163,0,0,0,0,,1,503,4163
hashicorp/vault,23269,l-with,340,2292,0,0,0,0,,1,340,2292
hashicorp/vault,23268,pvinay,217,1339,1,1,224,1994,pvinay,1,441,3333
hashicorp/vault,23244,selsabil94,281,1789,2,2,64,362,galaxis7|nicolamacoir,3,345,2151
hashicorp/vault,23216,alex-ikse,435,3003,1,1,8,39,hghaf099,2,443,3042
hashicorp/vault,23211,pporee,536,4752,1,1,13,59,naxim92,2,549,4811
hashicorp/vault,23194,ruuda,430,2555,2,2,339,1750,hghaf099|ruuda,2,769,4305
hashicorp/vault,23191,vineet-negi009,205,1594,1,1,106,697,hghaf099,2,311,2291
hashicorp/vault,23159,TatyanaBol,367,2332,23,12,1851,10987,1337andre|F21|adamrothman|hashiblaum|hghaf099|iloving|karmops|lootek|nielsdt-rabobank|seanamos|solyim|universam1,13,2218,13319
hashicorp/vault,23135,maxb,132,920,0,0,0,0,,1,132,920
hashicorp/vault,23133,ciscoinfo,359,2379,4,4,75,384,hashishaw|pativadar|vova123412|will-schneble,5,434,2763
hashicorp/vault,23132,fgiannetti,123,841,1,1,12,68,fgiannetti,1,135,909
hashicorp/vault,23106,wiwwo,267,1713,2,2,99,539,maxb|wiwwo,2,366,2252
hashicorp/vault,23074,wardob,642,5157,4,2,162,950,tsaarni|wardob,2,804,6107
hashicorp/vault,23073,RupeshPilania,141,895,1,1,56,339,verwema,2,197,1234
hashicorp/vault,23052,bkonicek-calm,208,1355,1,1,18,86,bkonicek-calm,1,226,1441
hashicorp/vault,23041,Nishapar,8,48,0,0,0,0,,1,8,48
